player,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,id,team
Fábio Vieira,5.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
G.Jesus,6.5,42,0.0,600,3,2,2,3.05,0.52,44.28,,
Gabriel,6.4,116,3.5,2348,3,2,10,2.7,1.21,66.19,,
Havertz,7.7,96,0.0,1839,9,3,7,9.39,1.63,102.8,,
Hein,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
J.Timber,5.6,101,7.0,2199,1,2,10,0.75,1.19,86.45,,
Jorginho,4.7,16,0.0,540,0,0,2,0.04,0.51,15.63,,
Kiwior,4.8,13,0.0,323,0,0,1,0.0,0.03,41.27485119047618,,
Martinelli,6.5,93,2.0,1562,6,3,8,4.49,3.12,94.69,,
Nwaneri,4.6,46,1.0,595,3,1,2,0.82,1.2,53.73,,
Ødegaard,8.2,76,4.0,1724,2,4,9,3.76,5.19,86.63,,
Raya,5.5,117,4.5,2610,0,0,11,0.0,0.01,44.8585142912643,,
Rice,6.2,89,6.5,2154,2,5,9,1.99,5.01,89.51,,
Saka,10.2,107,0.0,1268,5,11,6,4.17,5.6,110.11,,
Saliba,6.2,114,5.5,2364,2,0,11,2.07,0.88,99.64,,
Thomas,4.9,85,2.0,2185,3,3,7,1.65,2.11,76.85,,
Tierney,4.3,6,1.0,77,0,0,0,0.21,0.28,11.94,,
Tomiyasu,4.8,1,0.0,6,0,0,0,0.18,0.0,2.316666666666667,,
Trossard,6.8,100,2.0,1899,4,6,9,4.66,3.1,94.92,,
White,6.1,29,0.0,703,0,1,3,0.19,0.33,24.65,,
Zinchenko,4.8,19,0.0,292,0,0,2,0.16,0.12,13.985333333333331,,
Neto,4.1,7,0.0,180,0,0,0,0.0,0.0,3.9237786938038095,,
Sterling,6.7,17,0.0,303,0,1,1,1.04,0.37,24.48,,
Calafiori,5.8,37,0.5,921,2,1,1,0.86,0.68,45.99,,
Lewis-Skelly,4.5,22,2.0,762,1,0,4,0.04,0.29,21.06,,
Merino,6.0,68,5.5,1140,5,1,4,3.76,1.01,69.91,,
Oulad M'hand,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Setford,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Kacurri,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Kabia,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Nichols,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Butler-Oyedeji,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Arteta,1.5,48,6.5,0,0,0,0,0.0,0.0,3.9237786938038095,,
Porter,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Bailey,6.2,46,1.0,1131,1,2,2,1.73,2.92,53.54,,
Barkley,5.2,40,0.0,544,3,1,1,1.68,0.41,36.26,,
Barrenechea,4.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Buendia,5.1,11,0.0,89,0,0,0,0.65,0.03,12.16,,
Cash,4.4,41,0.0,1395,1,1,2,0.23,1.0,41.22,,
Dendoncker,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Diaby,6.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Diego Carlos,4.5,21,0.0,828,0,0,2,0.64,0.08,21.95,,
Digne,4.5,75,6.0,2059,0,5,4,0.8,3.56,80.21,,
Dobbin,5.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Duran,5.7,53,0.0,622,7,0,2,5.11,0.24,54.71,,
Gauci,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
Hause,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,,
